Latitude,Longitude,Neighborhood,Full Address,ZIP Code
40.73343119,-73.97607806,Peter Cooper Village,"530 E 20th St, New York, NY 10009, USA",10009
40.79749876,-73.96829844,Bloomingdale,"842 Amsterdam Ave, New York, NY 10025, USA",10025
40.76509972,-73.98579772,Hell's Kitchen,"354 W 54th St, New York, NY 10019, USA",10019
40.79179898,-73.94470003,East Harlem,"1924 3rd Ave, New York, NY 10029, USA",10029
40.76142477,-73.98404905,Theater District,"50 St, New York, NY 10019, USA",10019
40.71615079,-73.99143906,Lower East Side,"81 Hester St, New York, NY 10002, USA",10002
40.80110152,-73.93709803,East Harlem,"207 E 121st St, New York, NY 10035, USA",10035
40.77320707,-73.95668745,Upper East Side,"225 E 78th St, New York, NY 10075, USA",10075
40.81159925,-73.95500009,West Harlem,"430 Martin Luther King Blvd, New York, NY 10027, USA",10027
40.74839972,-73.99249789,Midtown South,"35509 7th Ave, New York, NY 10001, USA",10001
40.82460081,-73.95069718,Hamilton Heights,"530 W 143rd St, New York, NY 10031, USA",10031
40.81159925,-73.95500009,West Harlem,"430 Martin Luther King Blvd, New York, NY 10027, USA",10027
40.79749876,-73.96829844,Bloomingdale,"842 Amsterdam Ave, New York, NY 10025, USA",10025
40.83819939,-73.94200255,Washington Heights,"Broadway/W 164 St, New York, NY 10032, USA",10032
40.83819939,-73.94200255,Washington Heights,"Broadway/W 164 St, New York, NY 10032, USA",10032
40.74020012,-73.99960142,Chelsea,"212 W 16th St, New York, NY 10011, USA",10011
40.79749876,-73.96829844,Bloomingdale,"842 Amsterdam Ave, New York, NY 10025, USA",10025
40.74520605,-74.0022651,Chelsea,"386 W 21st St, New York, NY 10011, USA",10011
40.72550146,-73.99829679,SoHo,"163 Mercer St, New York, NY 10012, USA",10012
40.75285274,-73.99297287,Garment District,"491 8th Ave, New York, NY 10001, USA",10001
40.74839972,-73.9966971,Chelsea,"357A 8th Ave, New York, NY 10001, USA",10001
40.74430135,-73.97810003,Kips Bay,"209 E 32nd St, New York, NY 10016, USA",10016
40.84691523,-73.94015819,Hudson Heights,"353 Fort Washington Ave, New York, NY 10033, USA",10033
