GEOID,total_2023,white_2023,black_2023,asian_2023,hispanic_2023,total_2013,white_2013,black_2013,asian_2013,hispanic_2013,geometry,pct_change_white,pct_change_black,pct_change_asian,pct_change_hispanic
36005023502,4284,45,1220,0,2972,4767,156,789,76,3611,"list(list(c(-73.905999, -73.90562, -73.905133, -73.904674, -73.903681, -73.902718, -73.90186, -73.900852, -73.901247, -73.901696, -73.90279, -73.902822, -73.902801, -73.903281, -73.905774, -73.906059, -73.905999, 40.849392, 40.849925, 40.85053, 40.851101, 40.852389, 40.853522, 40.854586, 40.855937, 40.854477, 40.853142, 40.851799, 40.850733, 40.850066, 40.848692, 40.849175, 40.849321, 40.849392)))",-71.15384615384616,54.626108998732576,-100,-17.69592910551094
36005013500,3295,112,1671,58,1427,3528,52,1337,0,1990,"list(list(c(-73.90508, -73.903852, -73.903461, -73.902275, -73.900428, -73.897945, -73.898205, -73.900935, -73.901651, -73.900541, -73.901176, -73.902331, -73.904922, -73.904293, -73.90508, 40.827114, 40.828194, 40.828533, 40.829637, 40.829151, 40.828522, 40.827889, 40.827928, 40.826217, 40.825944, 40.824389, 40.824666, 40.825287, 40.82692, 40.827114)))",115.38461538461539,24.981301421091995,0,-28.29145728643216
36005009200,5675,261,449,1470,3305,5255,197,871,569,3396,"list(list(c(-73.857732, -73.854651, -73.853471, -73.851684, -73.849559, -73.848486, -73.848147, -73.847812, -73.847261, -73.848749, -73.850632, -73.851224, -73.852934, -73.854744, -73.855977, -73.860344, -73.857732, 40.833558, 40.833888, 40.834015, 40.834201, 40.834409, 40.834525, 40.83306, 40.831622, 40.829313, 40.829651, 40.830233, 40.830414, 40.830932, 40.831477, 40.831831, 40.833294, 40.833558)))",32.48730964467005,-48.450057405281285,158.34797891036908,-2.67962308598351
36005005400,5306,26,1391,110,3415,6052,2,1187,132,4461,"list(list(c(-73.883887, -73.882354, -73.881724, -73.879769, -73.878845, -73.876993, -73.876067, -73.875507, -73.876402, -73.877299, -73.878235, -73.880112, -73.881046, -73.881981, -73.883832, -73.883887, 40.829809, 40.831505, 40.831287, 40.831139, 40.831265, 40.831515, 40.831638, 40.829234, 40.828977, 40.828742, 40.82866, 40.828511, 40.828432, 40.828356, 40.828271, 40.829809)))",1200,17.186183656276327,-16.666666666666668,-23.447657475902265
36005036501,4721,28,2702,0,1907,3760,38,1966,0,1691,"list(list(c(-73.888319, -73.887233, -73.885603, -73.883778, -73.883109, -73.883445, -73.884465, -73.885292, -73.885454, -73.88566, -73.886843, -73.889017, -73.888319, 40.845179, 40.844636, 40.846543, 40.848682, 40.848273, 40.847153, 40.845985, 40.844608, 40.843767, 40.84271, 40.843298, 40.84437, 40.845179)))",-26.31578947368421,37.43641912512716,0,12.773506800709638
36005044902,2303,1498,108,8,677,2273,1890,5,0,230,"list(list(c(-73.871364, -73.868997, -73.868042, -73.867447, -73.867195, -73.866917, -73.870487, -73.87072, -73.87085, -73.871364, 40.900039, 40.901559, 40.902642, 40.898953, 40.897592, 40.896083, 40.89664, 40.897908, 40.898587, 40.900039)))",-20.74074074074074,2060,0,194.34782608695653
36005017500,6444,274,3665,0,2313,6322,72,2427,0,3778,"list(list(c(-73.915699, -73.915008, -73.914079, -73.913844, -73.911285, -73.912395, -73.911384, -73.912255, -73.912962, -73.914722, -73.91641, -73.915699, 40.830536, 40.831723, 40.833286, 40.833694, 40.832829, 40.830936, 40.830988, 40.829419, 40.82816, 40.82873, 40.82929, 40.830536)))",280.55555555555554,51.00947672023074,0,-38.77713075701429
36005021900,1022,17,250,26,715,1331,22,127,0,1182,"list(list(c(-73.922216, -73.921903, -73.921357, -73.919783, -73.917955, -73.916184, -73.916892, -73.917299, -73.917683, -73.918592, -73.919017, -73.919696, -73.920125, -73.922372, -73.922216, 40.837986, 40.838473, 40.840189, 40.840876, 40.843102, 40.842335, 40.841347, 40.840766, 40.840225, 40.838982, 40.838381, 40.837872, 40.837588, 40.836109, 40.837986)))",-22.727272727272727,96.85039370078741,0,-39.50930626057529
36005007400,3281,68,1107,0,2013,3863,39,1298,40,2478,"list(list(c(-73.855136, -73.852078, -73.85158, -73.85108, -73.850599, -73.851629, -73.85362, -73.854142, -73.854637, -73.855136, 40.822436, 40.822847, 40.820711, 40.818618, 40.816498, 40.816354, 40.816088, 40.818238, 40.8203, 40.822436)))",74.35897435897436,-14.714946070878275,-100,-18.765133171912833
36005022000,1901,41,486,71,1285,1600,16,419,0,1157,"list(list(c(-73.878364, -73.876856, -73.876085, -73.874591, -73.871453, -73.868926, -73.869209, -73.868374, -73.868355, -73.868927, -73.868019, -73.868892, -73.870301, -73.870995, -73.872253, -73.872808, -73.873268, -73.873561, -73.877415, -73.877914, -73.878364, 40.839997, 40.84223, 40.842065, 40.841521, 40.844591, 40.848151, 40.849239, 40.84897, 40.84708, 40.846882, 40.844841, 40.84441, 40.843549, 40.843112, 40.841601, 40.840869, 40.84022, 40.839794, 40.839988, 40.839971, 40.839997)))",156.25,15.990453460620525,0,11.063094209161624
