ZIP,rent_index,weighted_income,median_income_2025,annual_rent,rent_burden,rent_burden_bin
10001,5375.841343661954,148064.47618949693,156948.34476086675,64510.09612394345,43.568921988675854,40-49%
10002,4439.070052326659,58833.53946279481,62363.5518305625,53268.840627919904,90.54162152118366,≥60%
10003,5028.101306161163,169878.01008344407,180070.69068845073,60337.215673933955,35.51796706607072,30-39%
10004,4867.167617754538,220425.63063280773,233651.1684707762,58406.01141305445,26.4969238129794,<30%
10005,4471.109028463349,202868.4342327737,215040.54028674014,53653.30834156019,26.44734186689573,<30%
10006,4287.6930052792195,199653.44983592897,211632.6568260847,51452.316063350634,25.770812428051244,<30%
10007,7714.841201494798,241523.20065751212,256014.59269696285,92578.09441793758,38.330932252432504,30-39%
10009,4556.64691714507,81619.89335163074,86517.0869527286,54679.76300574084,66.99318114785108,≥60%
10010,4941.860280303451,167227.0150558597,177260.63595921127,59302.32336364141,35.46216700921938,30-39%
10011,5339.939909470715,151055.90158937147,160119.25568473377,64079.27891364858,42.42090394312492,40-49%
10012,4626.624485315109,152645.79152037538,161804.53901159792,55519.49382378131,36.371453985595465,30-39%
10013,6022.867232372665,153565.77871386174,162779.72543669346,72274.40678847198,47.06413589914488,40-49%
10014,5502.401467623915,176085.0276470176,186650.12930583867,66028.81761148697,37.49825779841386,30-39%
10016,4827.00241405487,163303.6375745457,173101.85582901843,57924.028968658444,35.47014005870934,30-39%
10017,4241.755895322397,101481.29525996801,107570.1729755661,50901.07074386877,50.15808146070052,50-59%
10018,4815.79763277492,147409.7052994395,156254.28761740588,57789.57159329904,39.203369598974966,30-39%
10019,4590.562964726897,130891.4958178591,138744.98556693067,55086.75557672276,42.08581713618603,40-49%
10021,3810.9663171532657,164074.83159593152,173919.3214916874,45731.595805839184,27.87240148962199,<30%
10022,4454.264621372544,164170.05631014958,174020.25968875855,53451.175456470526,32.558419396220906,30-39%
10023,4609.626907520925,150036.9949885346,159039.2146878467,55315.5228902511,36.867922404389766,30-39%
10024,4038.929434365321,181144.73534773604,192013.41946860022,48467.153212383855,26.756037441189484,<30%
10025,4408.956274942558,117759.78231037412,124825.36924899658,52907.475299310696,44.92830596431035,40-49%
10026,3556.495558317055,74008.28767753844,78448.78493819074,42677.946699804656,57.6664425554024,50-59%
10027,3548.0687727223585,65205.271482228,69117.58777116169,42576.8252726683,65.29659996013176,≥60%
10028,3631.6411984523975,183133.0570737798,194121.0404982066,43579.694381428766,23.796738326642785,<30%
10029,3291.9569003182182,48776.95364572664,51703.57086447024,39503.48280381862,80.98800735022846,≥60%
10030,2768.109066562537,59171.033183629,62721.295174646744,33217.30879875044,56.13778737928266,50-59%
10031,3078.8207241833493,61078.00298937204,64742.683168734366,36945.84869020019,60.48961472533573,≥60%
10032,2789.590796926559,56571.23509665763,59965.509202457084,33475.08956311871,59.173340489956004,50-59%
10033,2736.7653827951935,86208.20279021823,91380.69495763133,32841.18459354232,38.09519689612263,30-39%
10034,2297.5708116298733,73711.72131225248,78134.42459098763,27570.849739558478,37.403616750129544,30-39%
10035,3056.613160454332,40187.34413742344,42598.58478566885,36679.35792545199,91.27091802838314,≥60%
10036,4585.653427181995,90897.20348398623,96351.0356930254,55027.841126183936,60.53854135994232,≥60%
10037,2822.2799986388086,61136.282635900374,64804.4595940544,33867.3599836657,55.3964986477247,50-59%
10038,4580.200946319456,107935.57068876449,114411.70493009036,54962.41135583348,50.92149974758485,50-59%
10039,2845.3439152496685,48749.934551217804,51674.93062429087,34144.12698299602,70.039328867454,≥60%
10040,2557.8154711234533,77828.94738036302,82498.68422318481,30693.785653481442,39.4374929722174,30-39%
10044,4281.146293070096,126025.66666666667,133587.20666666667,51373.755516841156,40.76451795547559,40-49%
10065,4206.243890834639,179605.00046299014,190381.30049076956,50474.92669001567,28.103296990562722,<30%
10069,5587.476289928683,162421.7940095502,172167.10165012322,67049.7154791442,41.281230691985684,40-49%
10075,3334.358602533883,164285.06625667622,174142.1702320768,40012.3032304066,24.355411080330363,<30%
10128,3989.838664164139,155847.2106930313,165198.04333461318,47878.06396996967,30.721155519603112,30-39%
10280,5094.6838350552825,243796.94781986918,258424.76468906135,61136.20602066339,25.076690486639823,<30%
10282,7305.261119906316,250001,265001.06,87663.13343887578,35.06511311509785,30-39%
10301,3120.0195732371762,85552.60259670539,90685.75875250771,37440.23487884612,43.76282397315162,40-49%
10304,2867.723065537595,71227.07638670546,75500.70096990779,34412.67678645114,48.314038048702315,40-49%
10305,2848.557206924811,81046.27558737328,85909.05212261569,34182.68648309773,42.17675178206865,40-49%
10306,2850.911505727181,98862.38955567019,104794.1329290104,34210.93806872617,34.604603654114314,30-39%
10309,2010.446601778006,101057.70747005033,107121.16991825335,24125.35922133607,23.872854258529376,<30%
10312,1967.8510613076535,108679.46980664197,115200.23799504049,23614.212735691843,21.728310579454682,<30%
10314,2482.799271703174,101472.16081564742,107560.49046458627,29793.591260438086,29.36134504375686,<30%
10451,2769.6664212615733,36730.31461444154,38934.13349130803,33235.99705513888,90.48655695987759,≥60%
10452,2270.81237787361,37577.74860971997,39832.41352630317,27249.74853448332,72.515649666768,≥60%
10456,2689.7109279938404,30542.629848916793,32375.187639851803,32276.531135926085,105.6769875272243,≥60%
10457,2765.8008922027516,41461.19637041328,43948.868152638075,33189.61070643302,80.04981431292498,≥60%
10458,2279.8951876459682,39550.0237868657,41923.02521407764,27358.742251751617,69.17503362118653,≥60%
10461,2341.073215504533,63343.01176759023,67143.59247364565,28092.878586054394,44.35039920288138,40-49%
10462,2581.991973138798,65709.94704167223,69652.54386417256,30983.903677665578,47.1525318046841,40-49%
10463,3149.578944647911,77209.43039279398,81841.99621636161,37794.94733577494,48.95120601654169,40-49%
10465,2853.052487624389,87334.3557556773,92574.41710101794,34236.62985149267,39.20178898127048,30-39%
10466,2628.608539457868,67496.81412397229,71546.62297141063,31543.30247349442,46.73302419216175,40-49%
10467,2446.1552268102546,48303.916603575206,51202.15159978972,29353.862721723053,60.76911518920276,≥60%
10468,2264.3093474914217,48552.462768516016,51465.610534626976,27171.71216989706,55.96361259663358,50-59%
11101,4122.515956669148,83823.95228436259,88853.38942142435,49470.19148002978,59.01677281000561,50-59%
11102,2998.763637615328,92453.07568491793,98000.26022601301,35985.16365138394,38.92262467721696,30-39%
11103,2845.4460166325453,89334.3641798768,94694.4260306694,34145.35219959055,38.221968122858186,30-39%
11104,2528.45655904458,84642.07135411004,89720.59563535664,30341.47870853496,35.84680552251353,30-39%
11105,2854.602772574503,100956.05347408935,107013.41668253472,34255.23327089404,33.930836331360496,30-39%
11106,2812.7880564106517,81617.0900788703,86514.11548360252,33753.45667692782,41.35586878227381,40-49%
11109,4492.747183138151,205233.81879039103,217547.8479178145,53912.966197657806,26.26904596689305,<30%
11201,4385.088017194586,161285.73677534275,170962.88098186333,52621.05620633504,32.62598246962884,30-39%
11203,2603.932106023467,69333.52552990749,73493.53706170195,31247.185272281604,45.06793074989807,40-49%
11204,2223.834175774473,69943.96147699431,74140.59916561398,26686.010109293675,38.15341531387399,30-39%
11205,3582.9057438395785,88405.49583183827,93709.82558174858,42994.86892607494,48.633705994770075,40-49%
11206,3826.826700371934,63925.464086098415,67760.99193126432,45921.920404463206,71.83666330933943,≥60%
11207,3153.1789361742904,55355.646296687344,58676.985074488584,37838.147234091484,68.35463004314312,≥60%
11208,2796.913192471325,64556.91936491739,68430.33452681244,33562.9583096559,51.98971487461536,50-59%
11209,2457.57847499893,99136.16245390246,105084.33220113661,29490.941699987157,29.747915362066003,<30%
11210,2757.9852182698164,87733.4689659767,92997.4771039353,33095.8226192378,37.72314375494767,30-39%
11211,4615.728653863331,110075.32880899911,116679.84853753906,55388.74384635997,50.31894471327867,50-59%
11212,2728.0908228641842,43074.93752607971,45659.433777644495,32737.089874370213,76.00031887347382,≥60%
