GEOID,income_2013,income_2023,income_2013_adj,absolute_change,percent_change,income_change_bin
10001,81671,123393,106172.3,17220.699999999997,16.21957892972084,10–20% growth
10002,33218,46525,43183.4,3341.5999999999985,7.738158644293868,0–10% growth
10003,92540,153750,120302,33448,27.803361540124023,20–30% growth
10004,129313,220592,168106.9,52485.100000000006,31.22126456439326,30–40% growth
10005,124670,211810,162071,49739,30.689636023718,30–40% growth
10006,119274,209972,155056.2,54915.79999999999,35.41670697463241,30–40% growth
10007,216037,250001,280848.10000000003,-30847.100000000035,-10.983553030980103,Decrease >10%
10009,59929,87963,77907.7,10055.300000000003,12.906683164821967,10–20% growth
10010,97955,156127,127341.5,28785.5,22.604963817765615,20–30% growth
10011,104238,146571,135509.4,11061.600000000006,8.162976147780158,0–10% growth
10012,86594,130938,112572.2,18365.800000000003,16.31468515317281,10–20% growth
10013,83725,159474,108842.5,50631.5,46.51813400096469,40–50% growth
10014,108483,167254,141027.9,26226.100000000006,18.596391210533522,10–20% growth
10016,105324,153065,136921.2,16143.799999999988,11.790577353981698,10–20% growth
10017,100652,132518,130847.6,1670.3999999999942,1.2765996472231773,0–10% growth
10018,104635,133042,136025.5,-2983.5,-2.1933387489845653,No growth or decline
10019,84424,121835,109751.2,12083.800000000003,11.010175742953155,10–20% growth
10020,NA,NA,NA,NA,NA,NA
10021,107907,156712,140279.1,16432.899999999994,11.714432157035505,10–20% growth
10022,109019,171038,141724.7,29313.29999999999,20.683268336429702,20–30% growth
10023,103534,157866,134594.2,23271.79999999999,17.2903438632571,10–20% growth
10024,109956,182614,142942.80000000002,39671.19999999998,27.753199181770594,20–30% growth
10025,68516,109195,89070.8,20124.199999999997,22.593487427978637,20–30% growth
10026,43107,74140,56039.1,18100.9,32.300483055580834,30–40% growth
10027,37872,64220,49233.6,14986.400000000001,30.439374735952683,30–40% growth
10028,104638,168125,136029.4,32095.600000000006,23.59460528385776,20–30% growth
10029,31888,38308,41454.4,-3146.4000000000015,-7.590026631672394,No growth or decline
10030,31925,42738,41502.5,1235.5,2.976929100656587,0–10% growth
10031,37655,65067,48951.5,16115.5,32.9213609388885,30–40% growth
10032,34568,56588,44938.4,11649.599999999999,25.923486372456516,20–30% growth
10033,41556,75585,54022.8,21562.199999999997,39.91314778204757,30–40% growth
10034,41171,69786,53522.3,16263.699999999997,30.386773363625995,30–40% growth
10035,24533,40556,31892.9,8663.099999999999,27.16309899695543,20–30% growth
10036,66599,100225,86578.7,13646.300000000003,15.761728924088722,10–20% growth
10037,37341,51250,48543.3,2706.699999999997,5.575846718290674,0–10% growth
10038,66074,115121,85896.2,29224.800000000003,34.023391023118606,30–40% growth
10039,33595,48792,43673.5,5118.5,11.719921691643673,10–20% growth
10040,42721,64022,55537.3,8484.699999999997,15.277480179987139,10–20% growth
10044,83066,106146,107985.8,-1839.800000000003,-1.7037425291103117,No growth or decline
10065,115519,160938,150174.7,10763.299999999988,7.167185950762669,0–10% growth
10069,170630,226151,221819,4332,1.9529436161915799,0–10% growth
10075,102941,146556,133823.30000000002,12732.699999999983,9.514561365621667,0–10% growth
10103,NA,NA,NA,NA,NA,NA
10110,NA,NA,NA,NA,NA,NA
10111,NA,NA,NA,NA,NA,NA
10112,NA,NA,NA,NA,NA,NA
10115,NA,NA,NA,NA,NA,NA
10119,NA,NA,NA,NA,NA,NA
10128,96296,148705,125184.8,23520.199999999997,18.78838325419699,10–20% growth
10152,NA,NA,NA,NA,NA,NA
10153,NA,NA,NA,NA,NA,NA
10154,NA,NA,NA,NA,NA,NA
10162,168667,110349,219267.1,-108918.1,-49.67370845877015,Decrease >10%
10165,NA,NA,NA,NA,NA,NA
10167,NA,NA,NA,NA,NA,NA
10168,NA,NA,NA,NA,NA,NA
10169,NA,NA,NA,NA,NA,NA
10170,NA,NA,NA,NA,NA,NA
10171,NA,NA,NA,NA,NA,NA
10172,NA,NA,NA,NA,NA,NA
10173,NA,NA,NA,NA,NA,NA
10174,NA,NA,NA,NA,NA,NA
10177,NA,NA,NA,NA,NA,NA
10199,NA,NA,NA,NA,NA,NA
10271,NA,NA,NA,NA,NA,NA
10278,NA,NA,NA,NA,NA,NA
10279,NA,250001,NA,NA,NA,NA
10280,129574,206250,168446.2,37803.79999999999,22.442655281033343,20–30% growth
10282,230952,250001,300237.60000000003,-50236.600000000035,-16.73228136649108,Decrease >10%
10301,56848,84937,73902.40000000001,11034.599999999991,14.93131481521573,10–20% growth
10302,56841,76089,73893.3,2195.699999999997,2.9714466670185216,0–10% growth
10303,51537,79429,66998.1,12430.899999999994,18.554108250830982,10–20% growth
10304,53168,71506,69118.40000000001,2387.5999999999913,3.4543623694992807,0–10% growth
10305,70758,86294,91985.40000000001,-5691.400000000009,-6.1872862432516555,No growth or decline
10306,75807,97746,98549.1,-803.1000000000058,-0.8149237283749986,No growth or decline
10307,86457,138807,112394.1,26412.899999999994,23.500254906618757,20–30% growth
10308,88075,122654,114497.5,8156.5,7.1237363261206585,0–10% growth
10309,86297,123638,112186.1,11451.899999999994,10.207949113125418,10–20% growth
10310,61925,106118,80502.5,25615.5,31.8195087109096,30–40% growth
10311,NA,NA,NA,NA,NA,NA
10312,85324,111434,110921.2,512.8000000000029,0.46231018056061685,0–10% growth
10314,77242,104655,100414.6,4240.399999999994,4.222891890223129,0–10% growth
10451,26754,37111,34780.200000000004,2330.7999999999956,6.701514079850016,0–10% growth
10452,25979,37854,33772.700000000004,4081.2999999999956,12.084612719741077,10–20% growth
10453,25470,35482,33111,2371,7.160762284437196,0–10% growth
10454,20232,27500,26301.600000000002,1198.3999999999978,4.556376798369672,0–10% growth
10455,22609,36701,29391.7,7309.299999999999,24.868585348925034,20–30% growth
10456,23452,35676,30487.600000000002,5188.399999999998,17.01806636140594,10–20% growth
10457,24949,44911,32433.7,12477.3,38.47017145746553,30–40% growth
10458,24618,42107,32003.4,10103.599999999999,31.57039564546266,30–40% growth
10459,24461,39276,31799.3,7476.700000000001,23.51215278323737,20–30% growth
10460,22307,36067,28999.100000000002,7067.899999999998,24.372825363545754,20–30% growth
10461,52347,65023,68051.1,-3028.100000000006,-4.449744383264937,No growth or decline
10462,45864,63460,59623.200000000004,3836.7999999999956,6.435078962551483,0–10% growth
10463,54258,72952,70535.40000000001,2416.5999999999913,3.426081088361292,0–10% growth
10464,70078,100306,91101.40000000001,9204.599999999991,10.103686661236809,10–20% growth
10465,65450,90255,85085,5170,6.076276664511958,0–10% growth
10466,44012,66328,57215.6,9112.400000000001,15.926425660134653,10–20% growth
10467,36048,47806,46862.4,943.5999999999985,2.013554576803575,0–10% growth
10468,33776,46624,43908.8,2715.199999999997,6.183726268993907,0–10% growth
10469,57776,76018,75108.8,909.1999999999971,1.2105106192616537,0–10% growth
10470,58600,81134,76180,4954,6.503019165135206,0–10% growth
10471,71798,108738,93337.40000000001,15400.599999999991,16.499923931885814,10–20% growth
10472,30288,43125,39374.4,3750.5999999999985,9.525478483481649,0–10% growth
10473,35866,50609,46625.8,3983.199999999997,8.542909719511508,0–10% growth
10474,25676,41279,33378.8,7900.199999999997,23.668316416408008,20–30% growth
10475,43629,62383,56717.700000000004,5665.299999999996,9.98859262628773,0–10% growth
11101,47142,116807,61284.6,55522.4,90.5976379057708,Over 50% growth
11102,49924,102996,64901.200000000004,38094.799999999996,58.6966034526326,Over 50% growth
11103,55129,92787,71667.7,21119.300000000003,29.468365804958168,20–30% growth
11104,56059,84716,72876.7,11839.300000000003,16.24565876336333,10–20% growth
11105,57525,100306,74782.5,25523.5,34.130311235917496,30–40% growth
11106,48720,85573,63336,22237,35.10957433371226,30–40% growth
11109,125871,198773,163632.30000000002,35140.69999999998,21.475405528126156,20–30% growth
11201,95369,169285,123979.7,45305.3,36.542514621345276,30–40% growth
11203,48400,68028,62920,5108,8.118245390972664,0–10% growth
11204,45472,67588,59113.6,8474.400000000001,14.335787365344018,10–20% growth
11205,44688,86753,58094.4,28658.6,49.33108871078796,40–50% growth
11206,28559,57280,37126.700000000004,20153.299999999996,54.28249750179788,Over 50% growth
11207,32945,55419,42828.5,12590.5,29.39748064956746,20–30% growth
11208,35079,59988,45602.700000000004,14385.299999999996,31.54484273957462,30–40% growth
11209,58261,92656,75739.3,16916.699999999997,22.335432199663842,20–30% growth
11210,55429,83261,72057.7,11203.300000000003,15.547679151568817,10–20% growth
11211,46848,105183,60902.4,44280.6,72.70747950819671,Over 50% growth
11212,28348,40060,36852.4,3207.5999999999985,8.703910735800106,0–10% growth
11213,34794,62040,45232.200000000004,16807.799999999996,37.15892660538288,30–40% growth
11214,43398,64286,56417.4,7868.5999999999985,13.947115606178235,10–20% growth
11215,95654,180773,124350.2,56422.8,45.37411278791671,40–50% growth
11216,43996,95000,57194.8,37805.2,66.09901599446103,Over 50% growth
11217,81862,158314,106420.6,51893.399999999994,48.76255161124819,40–50% growth
11218,52445,95916,68178.5,27737.5,40.68364660413473,40–50% growth
11219,34316,55685,44610.8,11074.199999999997,24.824033642077694,20–30% growth
11220,37580,64201,48854,15347,31.414009088303924,30–40% growth
11221,39178,85122,50931.4,34190.6,67.1306895157015,Over 50% growth
11222,63739,123963,82860.7,41102.3,49.60409458283602,40–50% growth
